date,metric,value
2026-04-24T11:23:35+0000,bugs,2.0
2026-04-24T11:23:35+0000,code_smells,84.0
2026-04-24T11:23:35+0000,coverage,0.0
2026-04-24T11:23:35+0000,duplicated_lines_density,0.9
2026-04-24T11:23:35+0000,line_coverage,0.0
2026-04-24T11:23:35+0000,ncloc,16673.0
2026-04-24T11:23:35+0000,reliability_rating,3.0
2026-04-24T11:23:35+0000,security_rating,1.0
2026-04-24T11:23:35+0000,sqale_rating,1.0
2026-04-24T11:23:35+0000,violations,86.0
2026-04-24T11:23:35+0000,vulnerabilities,0.0
2026-04-26T23:55:24+0000,bugs,4.0
2026-04-26T23:55:24+0000,code_smells,45.0
2026-04-26T23:55:24+0000,coverage,0.0
2026-04-26T23:55:24+0000,duplicated_lines_density,0.9
2026-04-26T23:55:24+0000,line_coverage,0.0
2026-04-26T23:55:24+0000,ncloc,18371.0
2026-04-26T23:55:24+0000,reliability_rating,3.0
2026-04-26T23:55:24+0000,security_rating,1.0
2026-04-26T23:55:24+0000,sqale_rating,1.0
2026-04-26T23:55:24+0000,violations,49.0
2026-04-26T23:55:24+0000,vulnerabilities,0.0
2026-04-27T11:19:41+0000,bugs,3.0
2026-04-27T11:19:41+0000,code_smells,48.0
2026-04-27T11:19:41+0000,coverage,0.0
2026-04-27T11:19:41+0000,duplicated_lines_density,0.8
2026-04-27T11:19:41+0000,line_coverage,0.0
2026-04-27T11:19:41+0000,ncloc,19768.0
2026-04-27T11:19:41+0000,reliability_rating,3.0
2026-04-27T11:19:41+0000,security_rating,1.0
2026-04-27T11:19:41+0000,sqale_rating,1.0
2026-04-27T11:19:41+0000,violations,51.0
2026-04-27T11:19:41+0000,vulnerabilities,0.0
2026-04-28T16:23:38+0000,bugs,0.0
2026-04-28T16:23:38+0000,code_smells,5.0
2026-04-28T16:23:38+0000,coverage,9.6
2026-04-28T16:23:38+0000,duplicated_lines_density,0.0
2026-04-28T16:23:38+0000,line_coverage,6.5
2026-04-28T16:23:38+0000,ncloc,16911.0
2026-04-28T16:23:38+0000,reliability_rating,1.0
2026-04-28T16:23:38+0000,security_rating,1.0
2026-04-28T16:23:38+0000,sqale_rating,1.0
2026-04-28T16:23:38+0000,violations,5.0
2026-04-28T16:23:38+0000,vulnerabilities,0.0
2026-04-29T00:01:27+0000,bugs,0.0
2026-04-29T00:01:27+0000,code_smells,5.0
2026-04-29T00:01:27+0000,coverage,52.9
2026-04-29T00:01:27+0000,duplicated_lines_density,0.0
2026-04-29T00:01:27+0000,line_coverage,52.9
2026-04-29T00:01:27+0000,ncloc,36438.0
2026-04-29T00:01:27+0000,reliability_rating,1.0
2026-04-29T00:01:27+0000,security_rating,1.0
2026-04-29T00:01:27+0000,sqale_rating,1.0
2026-04-29T00:01:27+0000,violations,5.0
2026-04-29T00:01:27+0000,vulnerabilities,0.0
2026-04-29T00:03:20+0000,bugs,0.0
2026-04-29T00:03:20+0000,code_smells,5.0
2026-04-29T00:03:20+0000,coverage,58.7
2026-04-29T00:03:20+0000,duplicated_lines_density,0.0
2026-04-29T00:03:20+0000,line_coverage,59.2
2026-04-29T00:03:20+0000,ncloc,36438.0
2026-04-29T00:03:20+0000,reliability_rating,1.0
2026-04-29T00:03:20+0000,security_rating,1.0
2026-04-29T00:03:20+0000,sqale_rating,1.0
2026-04-29T00:03:20+0000,violations,5.0
2026-04-29T00:03:20+0000,vulnerabilities,0.0
2026-04-29T00:04:45+0000,bugs,0.0
2026-04-29T00:04:45+0000,code_smells,5.0
2026-04-29T00:04:45+0000,coverage,58.7
2026-04-29T00:04:45+0000,duplicated_lines_density,0.0
2026-04-29T00:04:45+0000,line_coverage,59.2
2026-04-29T00:04:45+0000,ncloc,36438.0
2026-04-29T00:04:45+0000,reliability_rating,1.0
2026-04-29T00:04:45+0000,security_rating,1.0
2026-04-29T00:04:45+0000,sqale_rating,1.0
2026-04-29T00:04:45+0000,violations,5.0
2026-04-29T00:04:45+0000,vulnerabilities,0.0
2026-04-29T00:12:21+0000,bugs,0.0
2026-04-29T00:12:21+0000,code_smells,5.0
2026-04-29T00:12:21+0000,coverage,58.7
2026-04-29T00:12:21+0000,duplicated_lines_density,0.0
2026-04-29T00:12:21+0000,line_coverage,59.2
2026-04-29T00:12:21+0000,ncloc,36438.0
2026-04-29T00:12:21+0000,reliability_rating,1.0
2026-04-29T00:12:21+0000,security_rating,1.0
2026-04-29T00:12:21+0000,sqale_rating,1.0
2026-04-29T00:12:21+0000,violations,5.0
2026-04-29T00:12:21+0000,vulnerabilities,0.0
2026-04-29T00:14:22+0000,bugs,0.0
2026-04-29T00:14:22+0000,code_smells,5.0
2026-04-29T00:14:22+0000,coverage,58.7
2026-04-29T00:14:22+0000,duplicated_lines_density,0.0
2026-04-29T00:14:22+0000,line_coverage,59.2
2026-04-29T00:14:22+0000,ncloc,36438.0
2026-04-29T00:14:22+0000,reliability_rating,1.0
2026-04-29T00:14:22+0000,security_rating,1.0
2026-04-29T00:14:22+0000,sqale_rating,1.0
2026-04-29T00:14:22+0000,violations,5.0
2026-04-29T00:14:22+0000,vulnerabilities,0.0
2026-04-29T00:18:22+0000,bugs,0.0
2026-04-29T00:18:22+0000,code_smells,5.0
2026-04-29T00:18:22+0000,coverage,58.7
2026-04-29T00:18:22+0000,duplicated_lines_density,0.0
2026-04-29T00:18:22+0000,line_coverage,59.2
2026-04-29T00:18:22+0000,ncloc,36438.0
2026-04-29T00:18:22+0000,reliability_rating,1.0
2026-04-29T00:18:22+0000,security_rating,1.0
2026-04-29T00:18:22+0000,sqale_rating,1.0
2026-04-29T00:18:22+0000,violations,5.0
2026-04-29T00:18:22+0000,vulnerabilities,0.0
2026-04-29T00:19:36+0000,bugs,0.0
2026-04-29T00:19:36+0000,code_smells,5.0
2026-04-29T00:19:36+0000,coverage,63.0
2026-04-29T00:19:36+0000,duplicated_lines_density,0.0
2026-04-29T00:19:36+0000,line_coverage,63.7
2026-04-29T00:19:36+0000,ncloc,36438.0
2026-04-29T00:19:36+0000,reliability_rating,1.0
2026-04-29T00:19:36+0000,security_rating,1.0
2026-04-29T00:19:36+0000,sqale_rating,1.0
2026-04-29T00:19:36+0000,violations,5.0
2026-04-29T00:19:36+0000,vulnerabilities,0.0
2026-04-29T00:21:56+0000,bugs,0.0
2026-04-29T00:21:56+0000,code_smells,5.0
2026-04-29T00:21:56+0000,coverage,63.7
2026-04-29T00:21:56+0000,duplicated_lines_density,0.0
2026-04-29T00:21:56+0000,line_coverage,64.5
2026-04-29T00:21:56+0000,ncloc,36438.0
2026-04-29T00:21:56+0000,reliability_rating,1.0
2026-04-29T00:21:56+0000,security_rating,1.0
2026-04-29T00:21:56+0000,sqale_rating,1.0
2026-04-29T00:21:56+0000,violations,5.0
2026-04-29T00:21:56+0000,vulnerabilities,0.0
2026-04-29T00:24:42+0000,bugs,0.0
2026-04-29T00:24:42+0000,code_smells,5.0
2026-04-29T00:24:42+0000,coverage,64.4
2026-04-29T00:24:42+0000,duplicated_lines_density,0.0
2026-04-29T00:24:42+0000,line_coverage,65.2
2026-04-29T00:24:42+0000,ncloc,36438.0
2026-04-29T00:24:42+0000,reliability_rating,1.0
2026-04-29T00:24:42+0000,security_rating,1.0
2026-04-29T00:24:42+0000,sqale_rating,1.0
2026-04-29T00:24:42+0000,violations,5.0
2026-04-29T00:24:42+0000,vulnerabilities,0.0
2026-04-29T00:26:49+0000,bugs,0.0
2026-04-29T00:26:49+0000,code_smells,5.0
2026-04-29T00:26:49+0000,coverage,64.7
2026-04-29T00:26:49+0000,duplicated_lines_density,0.0
2026-04-29T00:26:49+0000,line_coverage,65.6
2026-04-29T00:26:49+0000,ncloc,36438.0
2026-04-29T00:26:49+0000,reliability_rating,1.0
2026-04-29T00:26:49+0000,security_rating,1.0
2026-04-29T00:26:49+0000,sqale_rating,1.0
2026-04-29T00:26:49+0000,violations,5.0
2026-04-29T00:26:49+0000,vulnerabilities,0.0
2026-04-29T00:36:01+0000,bugs,0.0
2026-04-29T00:36:01+0000,code_smells,5.0
2026-04-29T00:36:01+0000,coverage,64.8
2026-04-29T00:36:01+0000,duplicated_lines_density,0.0
2026-04-29T00:36:01+0000,line_coverage,65.7
2026-04-29T00:36:01+0000,ncloc,22351.0
2026-04-29T00:36:01+0000,reliability_rating,1.0
2026-04-29T00:36:01+0000,security_rating,1.0
2026-04-29T00:36:01+0000,sqale_rating,1.0
2026-04-29T00:36:01+0000,violations,5.0
2026-04-29T00:36:01+0000,vulnerabilities,0.0
2026-04-29T00:42:21+0000,bugs,0.0
2026-04-29T00:42:21+0000,code_smells,5.0
2026-04-29T00:42:21+0000,coverage,65.1
2026-04-29T00:42:21+0000,duplicated_lines_density,0.0
2026-04-29T00:42:21+0000,line_coverage,66.0
2026-04-29T00:42:21+0000,ncloc,22351.0
2026-04-29T00:42:21+0000,reliability_rating,1.0
2026-04-29T00:42:21+0000,security_rating,1.0
2026-04-29T00:42:21+0000,sqale_rating,1.0
2026-04-29T00:42:21+0000,violations,5.0
2026-04-29T00:42:21+0000,vulnerabilities,0.0
2026-04-29T00:46:35+0000,bugs,0.0
2026-04-29T00:46:35+0000,code_smells,5.0
2026-04-29T00:46:35+0000,coverage,65.4
2026-04-29T00:46:35+0000,duplicated_lines_density,0.0
2026-04-29T00:46:35+0000,line_coverage,66.3
2026-04-29T00:46:35+0000,ncloc,22351.0
2026-04-29T00:46:35+0000,reliability_rating,1.0
2026-04-29T00:46:35+0000,security_rating,1.0
2026-04-29T00:46:35+0000,sqale_rating,1.0
2026-04-29T00:46:35+0000,violations,5.0
2026-04-29T00:46:35+0000,vulnerabilities,0.0
2026-04-29T00:50:38+0000,bugs,0.0
2026-04-29T00:50:38+0000,code_smells,5.0
2026-04-29T00:50:38+0000,coverage,65.9
2026-04-29T00:50:38+0000,duplicated_lines_density,0.0
2026-04-29T00:50:38+0000,line_coverage,66.9
2026-04-29T00:50:38+0000,ncloc,22351.0
2026-04-29T00:50:38+0000,reliability_rating,1.0
2026-04-29T00:50:38+0000,security_rating,1.0
2026-04-29T00:50:38+0000,sqale_rating,1.0
2026-04-29T00:50:38+0000,violations,5.0
2026-04-29T00:50:38+0000,vulnerabilities,0.0
2026-04-29T00:52:01+0000,bugs,0.0
2026-04-29T00:52:01+0000,code_smells,5.0
2026-04-29T00:52:01+0000,coverage,66.0
2026-04-29T00:52:01+0000,duplicated_lines_density,0.0
2026-04-29T00:52:01+0000,line_coverage,66.9
2026-04-29T00:52:01+0000,ncloc,22351.0
2026-04-29T00:52:01+0000,reliability_rating,1.0
2026-04-29T00:52:01+0000,security_rating,1.0
2026-04-29T00:52:01+0000,sqale_rating,1.0
2026-04-29T00:52:01+0000,violations,5.0
2026-04-29T00:52:01+0000,vulnerabilities,0.0
2026-04-29T00:55:29+0000,bugs,0.0
2026-04-29T00:55:29+0000,code_smells,5.0
2026-04-29T00:55:29+0000,coverage,67.8
2026-04-29T00:55:29+0000,duplicated_lines_density,0.0
2026-04-29T00:55:29+0000,line_coverage,68.9
2026-04-29T00:55:29+0000,ncloc,22351.0
2026-04-29T00:55:29+0000,reliability_rating,1.0
2026-04-29T00:55:29+0000,security_rating,1.0
2026-04-29T00:55:29+0000,sqale_rating,1.0
2026-04-29T00:55:29+0000,violations,5.0
2026-04-29T00:55:29+0000,vulnerabilities,0.0
2026-04-29T00:58:22+0000,bugs,0.0
2026-04-29T00:58:22+0000,code_smells,5.0
2026-04-29T00:58:22+0000,coverage,69.5
2026-04-29T00:58:22+0000,duplicated_lines_density,0.0
2026-04-29T00:58:22+0000,line_coverage,70.7
2026-04-29T00:58:22+0000,ncloc,22351.0
2026-04-29T00:58:22+0000,reliability_rating,1.0
2026-04-29T00:58:22+0000,security_rating,1.0
