date,coverage,line_coverage,bugs,vulnerabilities,code_smells,violations,duplicated_lines_density,reliability_rating,security_rating,sqale_rating,ncloc,tests,new_coverage,new_reliability_rating,new_security_rating,new_maintainability_rating,new_duplicated_lines_density
2026-04-24T11:23:35+0000,0.0,0.0,2,0,84,86,0.9,3.0,1.0,1.0,16673,,,,,,
2026-04-26T23:55:24+0000,0.0,0.0,4,0,45,49,0.9,3.0,1.0,1.0,18371,,,,,,
2026-04-27T11:19:41+0000,0.0,0.0,3,0,48,51,0.8,3.0,1.0,1.0,19768,,,,,,
2026-04-28T16:23:38+0000,9.6,6.5,0,0,5,5,0.0,1.0,1.0,1.0,16911,,,,,,
2026-04-29T00:01:27+0000,52.9,52.9,0,0,5,5,0.0,1.0,1.0,1.0,36438,,,,,,
2026-04-29T00:03:20+0000,58.7,59.2,0,0,5,5,0.0,1.0,1.0,1.0,36438,,,,,,
2026-04-29T00:04:45+0000,58.7,59.2,0,0,5,5,0.0,1.0,1.0,1.0,36438,,,,,,
2026-04-29T00:12:21+0000,58.7,59.2,0,0,5,5,0.0,1.0,1.0,1.0,36438,,,,,,
2026-04-29T00:14:22+0000,58.7,59.2,0,0,5,5,0.0,1.0,1.0,1.0,36438,,,,,,
2026-04-29T00:18:22+0000,58.7,59.2,0,0,5,5,0.0,1.0,1.0,1.0,36438,,,,,,
2026-04-29T00:19:36+0000,63.0,63.7,0,0,5,5,0.0,1.0,1.0,1.0,36438,,,,,,
2026-04-29T00:21:56+0000,63.7,64.5,0,0,5,5,0.0,1.0,1.0,1.0,36438,,,,,,
2026-04-29T00:24:42+0000,64.4,65.2,0,0,5,5,0.0,1.0,1.0,1.0,36438,,,,,,
2026-04-29T00:26:49+0000,64.7,65.6,0,0,5,5,0.0,1.0,1.0,1.0,36438,,,,,,
2026-04-29T00:36:01+0000,64.8,65.7,0,0,5,5,0.0,1.0,1.0,1.0,22351,,,,,,
2026-04-29T00:42:21+0000,65.1,66.0,0,0,5,5,0.0,1.0,1.0,1.0,22351,,,,,,
2026-04-29T00:46:35+0000,65.4,66.3,0,0,5,5,0.0,1.0,1.0,1.0,22351,,,,,,
